,initial_gdp_share,gdp_per_capita_1990,gdpper_diff,initial_population,color,cum_gdp_share
Jamaica,0.041240937689273456,6328.805546982945,24.684281317029523,2390.000001,#A9A9A9,92.75987607563928
El Salvador,0.05799444118709708,4162.379098806827,24.919478423505574,5110.176001,#bde2ee,92.81787051682637
Guinea Bissau,0.0020411012251654627,736.3715755969027,25.019567410974194,1016.62,#6399c7,92.81991161805153
Syria,0.1052850203957627,3035.5625492317654,25.152570209978535,12720.920003,#bde2ee,92.9251966384473
Trinidad and Tobago,0.03938654920905977,11806.270224428697,25.213259616360418,1223.562999,#A9A9A9,92.96458318765636
Haiti,0.025145428803847666,1297.195302547099,25.65085023945378,7109.594002000001,#6399c7,92.98972861646021
Israel,0.23595207799492868,18570.731543624148,25.685444776984237,4659.999999000001,#fdbf71,93.22568069445514
Barbados,0.012248128629442221,16560.1358917583,25.802088547869147,271.267,#fdbf71,93.23792882308457
Turkmenistan,0.03884423479804772,3884.080723821339,25.881258994727826,3668.0009989999985,#bde2ee,93.27677305788262
Guyana,0.0033902029582308043,1701.8656165063649,26.104919537923543,730.6200000000002,#6399c7,93.28016326084085
Suriname,0.006447075847669598,5876.965404152649,26.152668913740914,402.347,#bde2ee,93.28661033668853
Dominican Republic,0.08101681304022948,4073.3541768032665,26.245659178950717,7294.812001000001,#bde2ee,93.36762714972876
Malta,0.014160679051808263,14426.88935413477,26.77690928958514,360.0,#fdbf71,93.38178782878057
Iran,0.9693597676783244,6535.475834538145,26.823417966339036,54400.000001,#A9A9A9,94.3511475964589
Jordan,0.029787737238487235,3446.429298767773,27.059672096678895,3170.000003,#bde2ee,94.3809353336974
Puerto Rico,0.13868237669565717,14380.610978124338,27.08663739214609,3537.0000010000003,#fdbf71,94.51961771039305
Pakistan,0.5507018063419323,1870.6139470611568,27.34802566197073,107975.06023599998,#6399c7,95.07031951673498
Senegal,0.0331574427454339,1540.201922969476,27.729829454497096,7895.770001999999,#6399c7,95.10347695948042
Gambia,0.0032378568856685757,1233.8438926775736,28.18709144197883,962.4730000000002,#6399c7,95.10671481636608
Mali,0.019095537560758907,913.2407718853692,28.377781716758673,7668.981999000006,#6399c7,95.12581035392684
Libya,0.16274936479314803,13678.824290987473,28.604265435983713,4363.768000999997,#fdbf71,95.28855971871998
